W_CONF_ACC,W_CONF_AEC,W_CONF_A_SUN,W_CONF_A_TEN,W_CONF_BIG_EAST,W_CONF_BIG_SKY,W_CONF_BIG_SOUTH,W_CONF_BIG_TEN,W_CONF_BIG_TWELVE,W_CONF_BIG_WEST,W_CONF_CAA,W_CONF_CUSA,W_CONF_HORIZON,W_CONF_IVY,W_CONF_MAAC,W_CONF_MAC,W_CONF_MEAC,W_CONF_MID_CONT,W_CONF_MVC,W_CONF_MWC,W_CONF_NEC,W_CONF_OVC,W_CONF_PAC_TEN,W_CONF_PAC_TWELVE,W_CONF_PATRIOT,W_CONF_SEC,W_CONF_SOUTHERN,W_CONF_SOUTHLAND,W_CONF_SUMMIT,W_CONF_SUN_BELT,W_CONF_SWAC,W_CONF_WAC,W_CONF_WCC,L_CONF_ACC,L_CONF_AEC,L_CONF_A_SUN,L_CONF_A_TEN,L_CONF_BIG_EAST,L_CONF_BIG_SKY,L_CONF_BIG_SOUTH,L_CONF_BIG_TEN,L_CONF_BIG_TWELVE,L_CONF_BIG_WEST,L_CONF_CAA,L_CONF_CUSA,L_CONF_HORIZON,L_CONF_IVY,L_CONF_MAAC,L_CONF_MAC,L_CONF_MEAC,L_CONF_MID_CONT,L_CONF_MVC,L_CONF_MWC,L_CONF_NEC,L_CONF_OVC,L_CONF_PAC_TEN,L_CONF_PAC_TWELVE,L_CONF_PATRIOT,L_CONF_SEC,L_CONF_SOUTHERN,L_CONF_SOUTHLAND,L_CONF_SUMMIT,L_CONF_SUN_BELT,L_CONF_SWAC,L_CONF_WAC,L_CONF_WCC,SEASON,W_TEAMID,L_TEAMID,W_SCORE,L_SCORE,ROUND,W_REGION,W_SEED,L_REGION,L_SEED,W_SCORE_MEAN,W_FGM_MEAN,W_FGA_MEAN,W_FGM3_MEAN,W_FGA3_MEAN,W_FTM_MEAN,W_FTA_MEAN,W_OR_MEAN,W_DR_MEAN,W_AST_MEAN,W_TO_MEAN,W_STL_MEAN,W_BLK_MEAN,W_PF_MEAN,W_SCORE_MEDIAN,W_FGM_MEDIAN,W_FGA_MEDIAN,W_FGM3_MEDIAN,W_FGA3_MEDIAN,W_FTM_MEDIAN,W_FTA_MEDIAN,W_OR_MEDIAN,W_DR_MEDIAN,W_AST_MEDIAN,W_TO_MEDIAN,W_STL_MEDIAN,W_BLK_MEDIAN,W_PF_MEDIAN,W_SCORE_STDDEV,W_FGM_STDDEV,W_FGA_STDDEV,W_FGM3_STDDEV,W_FGA3_STDDEV,W_FTM_STDDEV,W_FTA_STDDEV,W_OR_STDDEV,W_DR_STDDEV,W_AST_STDDEV,W_TO_STDDEV,W_STL_STDDEV,W_BLK_STDDEV,W_PF_STDDEV,W_WINMARGINMEDIAN,W_WINMARGINMEAN,W_LOSEMARGINMEDIAN,W_LOSEMARGINMEAN,W_WON_CONFERENCE,W_TOTAL_WINS,L_SCORE_MEAN,L_FGM_MEAN,L_FGA_MEAN,L_FGM3_MEAN,L_FGA3_MEAN,L_FTM_MEAN,L_FTA_MEAN,L_OR_MEAN,L_DR_MEAN,L_AST_MEAN,L_TO_MEAN,L_STL_MEAN,L_BLK_MEAN,L_PF_MEAN,L_SCORE_MEDIAN,L_FGM_MEDIAN,L_FGA_MEDIAN,L_FGM3_MEDIAN,L_FGA3_MEDIAN,L_FTM_MEDIAN,L_FTA_MEDIAN,L_OR_MEDIAN,L_DR_MEDIAN,L_AST_MEDIAN,L_TO_MEDIAN,L_STL_MEDIAN,L_BLK_MEDIAN,L_PF_MEDIAN,L_SCORE_STDDEV,L_FGM_STDDEV,L_FGA_STDDEV,L_FGM3_STDDEV,L_FGA3_STDDEV,L_FTM_STDDEV,L_FTA_STDDEV,L_OR_STDDEV,L_DR_STDDEV,L_AST_STDDEV,L_TO_STDDEV,L_STL_STDDEV,L_BLK_STDDEV,L_PF_STDDEV,L_WINMARGINMEDIAN,L_WINMARGINMEAN,L_LOSEMARGINMEDIAN,L_LOSEMARGINMEAN,L_WON_CONFERENCE,L_TOTAL_WINS,W_WLOCN,W_WLOCH,W_WLOCA,L_WLOCN,L_WLOCH,L_WLOCA
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,1393,1328,63,47,6,W,3,W,1,80.103448,29.241379,62.206897,5.241379,15.862069,16.379310,23.620690,14.310345,26.896552,14.965517,13.620690,8.310345,7.275862,16.586207,82.000,29.000,62.000,5.000,16.000,17.000,22.000,14.000,26.000,14.000,13.000,9.000,6.000,17.000,13.438603313,6.769971344,10.300413681,2.41505942,4.364828061,6.360670405,7.757087985,5.568427875,5.287078778,5.666207815,3.940755892,2.465525907,2.97485361,3.923530171,9.000,14.416667,13.000,10.000000,0,24,71.166667,25.266667,56.533333,7.466667,18.966667,13.166667,18.600000,12.133333,24.966667,14.166667,11.800000,6.933333,3.766667,18.600000,69.500,25.000,55.500,8.000,19.000,14.500,19.500,11.000,24.500,14.000,11.000,7.000,4.000,18.000,13.769239413,5.368704592,6.273828177,2.825174154,5.215912864,5.458832384,7.407358909,4.264798471,4.038464436,5.252804394,2.808852969,3.423381369,2.028815418,4.148950831,12.500,15.541667,6.000,7.166667,1,24,1,17,6,4,15,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,1120,1448,68,62,2,W,10,W,2,70.100000,25.700000,54.700000,5.633333,16.333333,13.066667,19.733333,11.933333,22.566667,13.400000,15.900000,8.033333,4.966667,16.366667,69.500,25.500,54.500,5.000,16.000,13.000,18.000,12.000,22.000,14.000,16.000,7.000,4.500,16.500,14.4134755,5.925689243,6.046657672,2.48420289,5.664976081,6.318736978,8.432013461,3.183289651,5.568899712,5.055553481,4.692988174,3.285110957,2.592872731,3.925894038,15.000,16.157895,17.000,15.545455,0,19,78.413793,26.137931,57.241379,6.103448,17.724138,20.034483,26.620690,14.758621,26.931034,14.586207,15.103448,6.413793,4.379310,18.482759,75.000,25.000,57.000,6.000,18.000,19.000,25.000,14.000,27.000,14.000,15.000,7.000,5.000,18.000,11.977709172,4.525516103,6.743542763,2.143842112,3.272139514,6.721409078,8.79697107,4.239736902,5.32467999,4.127583555,4.730937856,3.235045131,1.801066906,4.38031871,11.500,15.666667,10.000,12.600000,0,24,3,13,3,1,16,7
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,1139,1257,79,71,2,W,12,W,4,68.586207,24.068966,50.655172,8.482759,21.862069,11.965517,16.551724,7.827586,20.379310,12.965517,10.413793,6.344828,1.862069,16.068966,68.000,23.000,50.000,9.000,21.000,11.000,15.000,7.000,21.000,13.000,10.000,6.000,2.000,16.000,7.798888382,3.261584124,5.595124574,2.57211275,4.680690868,5.308233228,6.299581653,2.841892855,4.246122584,3.688619118,4.187713696,2.869492987,1.432384027,4.415322638,12.000,11.500000,10.000,10.800000,0,24,81.833333,27.966667,60.833333,8.433333,23.400000,17.466667,25.100000,13.200000,25.100000,16.600000,13.366667,7.200000,4.733333,22.666667,81.000,28.000,62.000,9.000,24.000,18.000,25.500,13.500,25.000,16.000,12.000,6.500,4.500,22.000,10.907394923,5.549049829,6.848525316,2.68692017,4.132295004,6.916912461,8.968719585,3.836305645,4.404934506,4.445842665,4.398144836,3.604594707,2.690126763,5.351978886,18.000,18.333333,4.000,6.500000,1,24,3,11,10,0,16,8
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2003,1139,1280,47,46,1,W,12,W,5,68.586207,24.068966,50.655172,8.482759,21.862069,11.965517,16.551724,7.827586,20.379310,12.965517,10.413793,6.344828,1.862069,16.068966,68.000,23.000,50.000,9.000,21.000,11.000,15.000,7.000,21.000,13.000,10.000,6.000,2.000,16.000,7.798888382,3.261584124,5.595124574,2.57211275,4.680690868,5.308233228,6.299581653,2.841892855,4.246122584,3.688619118,4.187713696,2.869492987,1.432384027,4.415322638,12.000,11.500000,10.000,10.800000,0,24,70.166667,26.333333,55.800000,5.566667,16.200000,11.933333,17.633333,12.666667,24.600000,14.500000,15.633333,8.733333,3.733333,15.900000,68.000,25.500,56.000,5.000,17.500,10.500,16.500,12.000,23.500,14.000,14.500,8.000,3.500,15.500,12.451515169,5.247878619,7.452840264,2.582211455,4.708026869,5.680780228,7.136517708,4.357580292,5.745162922,3.329595621,3.819038753,2.935318041,1.964044551,3.273193089,16.000,17.190476,7.000,6.777778,0,21,3,11,10,5,12,4
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,1393,1329,68,56,2,W,3,W,6,80.103448,29.241379,62.206897,5.241379,15.862069,16.379310,23.620690,14.310345,26.896552,14.965517,13.620690,8.310345,7.275862,16.586207,82.000,29.000,62.000,5.000,16.000,17.000,22.000,14.000,26.000,14.000,13.000,9.000,6.000,17.000,13.438603313,6.769971344,10.300413681,2.41505942,4.364828061,6.360670405,7.757087985,5.568427875,5.287078778,5.666207815,3.940755892,2.465525907,2.97485361,3.923530171,9.000,14.416667,13.000,10.000000,0,24,68.724138,24.655172,55.413793,4.862069,12.965517,14.551724,22.344828,12.379310,24.068966,12.241379,14.655172,8.793103,5.586207,20.137931,68.000,24.000,56.000,4.000,13.000,14.000,21.000,12.000,24.000,12.000,15.000,8.000,5.000,18.000,11.777389227,4.790435888,4.701954275,2.682271612,3.914102324,4.98272877,6.688347329,3.121512774,4.366520583,4.197407176,3.477230651,3.539363502,3.510364653,4.940533068,11.500,13.800000,11.000,9.666667,0,20,1,17,6,2,13,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,1120,1386,65,63,1,W,10,W,7,70.100000,25.700000,54.700000,5.633333,16.333333,13.066667,19.733333,11.933333,22.566667,13.400000,15.900000,8.033333,4.966667,16.366667,69.500,25.500,54.500,5.000,16.000,13.000,18.000,12.000,22.000,14.000,16.000,7.000,4.500,16.500,14.4134755,5.925689243,6.046657672,2.48420289,5.664976081,6.318736978,8.432013461,3.183289651,5.568899712,5.055553481,4.692988174,3.285110957,2.592872731,3.925894038,15.000,16.157895,17.000,15.545455,0,19,70.620690,24.241379,54.413793,8.034483,21.862069,14.103448,20.655172,11.172414,24.137931,14.000000,12.931034,7.206897,5.551724,18.758621,73.000,24.000,55.000,7.000,22.000,13.000,18.000,12.000,24.000,13.000,12.000,6.000,5.000,19.000,10.390290083,4.50915868,6.716276796,3.06457599,4.634684024,6.393885595,7.825215013,3.635823428,3.777037199,4.898979486,2.963239444,3.529258421,2.097382893,4.21439011,17.000,16.043478,7.000,6.666667,0,23,3,13,3,4,11,8
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2003,1328,1143,74,65,2,W,1,W,8,71.166667,25.266667,56.533333,7.466667,18.966667,13.166667,18.600000,12.133333,24.966667,14.166667,11.800000,6.933333,3.766667,18.600000,69.500,25.000,55.500,8.000,19.000,14.500,19.500,11.000,24.500,14.000,11.000,7.000,4.000,18.000,13.769239413,5.368704592,6.273828177,2.825174154,5.215912864,5.458832384,7.407358909,4.264798471,4.038464436,5.252804394,2.808852969,3.423381369,2.028815418,4.148950831,12.500,15.541667,6.000,7.166667,1,24,74.482759,27.344828,58.724138,6.413793,17.034483,13.379310,19.517241,11.241379,24.379310,16.000000,14.172414,6.551724,2.793103,17.103448,75.000,27.000,58.000,6.000,18.000,13.000,19.000,11.000,22.000,17.000,14.000,7.000,3.000,18.000,7.758040474,3.538319375,7.864461456,2.542738091,4.617379885,5.753345548,7.395078904,3.897390794,5.512413265,4.140393339,4.464694614,2.640159654,1.63399847,3.744947396,10.000,10.380952,12.500,10.125000,0,21,4,15,5,1,13,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,1143,1301,76,74,1,W,8,W,9,74.482759,27.344828,58.724138,6.413793,17.034483,13.379310,19.517241,11.241379,24.379310,16.000000,14.172414,6.551724,2.793103,17.103448,75.000,27.000,58.000,6.000,18.000,13.000,19.000,11.000,22.000,17.000,14.000,7.000,3.000,18.000,7.758040474,3.538319375,7.864461456,2.542738091,4.617379885,5.753345548,7.395078904,3.897390794,5.512413265,4.140393339,4.464694614,2.640159654,1.63399847,3.744947396,10.000,10.380952,12.500,10.125000,0,21,72.400000,24.333333,53.333333,7.966667,22.500000,15.766667,20.466667,9.733333,22.033333,14.666667,14.200000,7.766667,3.066667,18.666667,71.500,23.500,52.000,8.000,21.500,15.000,19.000,10.000,21.000,14.000,14.000,7.500,2.000,18.000,12.69699937,4.396968615,6.50905646,3.045441347,5.563117471,5.733647443,7.463628273,3.750249058,4.374560778,4.998850468,3.717618862,3.626372154,2.490441527,4.212733792,11.500,15.055556,11.500,11.583333,0,18,1,13,7,2,13,3
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2003,1393,1120,79,78,3,W,3,W,10,80.103448,29.241379,62.206897,5.241379,15.862069,16.379310,23.620690,14.310345,26.896552,14.965517,13.620690,8.310345,7.275862,16.586207,82.000,29.000,62.000,5.000,16.000,17.000,22.000,14.000,26.000,14.000,13.000,9.000,6.000,17.000,13.438603313,6.769971344,10.300413681,2.41505942,4.364828061,6.360670405,7.757087985,5.568427875,5.287078778,5.666207815,3.940755892,2.465525907,2.97485361,3.923530171,9.000,14.416667,13.000,10.000000,0,24,70.100000,25.700000,54.700000,5.633333,16.333333,13.066667,19.733333,11.933333,22.566667,13.400000,15.900000,8.033333,4.966667,16.366667,69.500,25.500,54.500,5.000,16.000,13.000,18.000,12.000,22.000,14.000,16.000,7.000,4.500,16.500,14.4134755,5.925689243,6.046657672,2.48420289,5.664976081,6.318736978,8.432013461,3.183289651,5.568899712,5.055553481,4.692988174,3.285110957,2.592872731,3.925894038,15.000,16.157895,17.000,15.545455,0,19,1,17,6,3,13,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,1329,1335,77,63,1,W,6,W,11,68.724138,24.655172,55.413793,4.862069,12.965517,14.551724,22.344828,12.379310,24.068966,12.241379,14.655172,8.793103,5.586207,20.137931,68.000,24.000,56.000,4.000,13.000,14.000,21.000,12.000,24.000,12.000,15.000,8.000,5.000,18.000,11.777389227,4.790435888,4.701954275,2.682271612,3.914102324,4.98272877,6.688347329,3.121512774,4.366520583,4.197407176,3.477230651,3.539363502,3.510364653,4.940533068,11.500,13.800000,11.000,9.666667,0,20,70.185185,24.000000,51.518519,9.000000,21.851852,13.185185,18.777778,9.333333,24.185185,14.851852,13.000000,7.185185,2.148148,17.777778,70.000,24.000,52.000,9.000,21.000,13.000,19.000,10.000,24.000,14.000,13.000,7.000,2.000,17.000,11.744186902,5.061164392,5.963803484,3.258125995,6.267766747,5.313531594,5.766837088,2.948272036,4.780063075,4.400207154,3.464101615,3.363114777,1.378508252,3.273827882,13.500,15.681818,9.000,10.800000,0,22,2,13,5,2,11,9
