,W_CONF_ACC,W_CONF_AEC,W_CONF_A_SUN,W_CONF_A_TEN,W_CONF_BIG_EAST,W_CONF_BIG_SKY,W_CONF_BIG_SOUTH,W_CONF_BIG_TEN,W_CONF_BIG_TWELVE,W_CONF_BIG_WEST,W_CONF_CAA,W_CONF_CUSA,W_CONF_HORIZON,W_CONF_IVY,W_CONF_MAAC,W_CONF_MAC,W_CONF_MEAC,W_CONF_MID_CONT,W_CONF_MVC,W_CONF_MWC,W_CONF_NEC,W_CONF_OVC,W_CONF_PAC_TEN,W_CONF_PAC_TWELVE,W_CONF_PATRIOT,W_CONF_SEC,W_CONF_SOUTHERN,W_CONF_SOUTHLAND,W_CONF_SUMMIT,W_CONF_SUN_BELT,W_CONF_SWAC,W_CONF_WAC,W_CONF_WCC,L_CONF_ACC,L_CONF_AEC,L_CONF_A_SUN,L_CONF_A_TEN,L_CONF_BIG_EAST,L_CONF_BIG_SKY,L_CONF_BIG_SOUTH,L_CONF_BIG_TEN,L_CONF_BIG_TWELVE,L_CONF_BIG_WEST,L_CONF_CAA,L_CONF_CUSA,L_CONF_HORIZON,L_CONF_IVY,L_CONF_MAAC,L_CONF_MAC,L_CONF_MEAC,L_CONF_MID_CONT,L_CONF_MVC,L_CONF_MWC,L_CONF_NEC,L_CONF_OVC,L_CONF_PAC_TEN,L_CONF_PAC_TWELVE,L_CONF_PATRIOT,L_CONF_SEC,L_CONF_SOUTHERN,L_CONF_SOUTHLAND,L_CONF_SUMMIT,L_CONF_SUN_BELT,L_CONF_SWAC,L_CONF_WAC,L_CONF_WCC,SEASON,W_TEAMID,L_TEAMID,W_SCORE,L_SCORE,ROUND,W_REGION,W_SEED,L_REGION,L_SEED,W_SCORE_MEAN,W_FGM_MEAN,W_FGA_MEAN,W_FGM3_MEAN,W_FGA3_MEAN,W_FTM_MEAN,W_FTA_MEAN,W_OR_MEAN,W_DR_MEAN,W_AST_MEAN,W_TO_MEAN,W_STL_MEAN,W_BLK_MEAN,W_PF_MEAN,W_SCORE_MEDIAN,W_FGM_MEDIAN,W_FGA_MEDIAN,W_FGM3_MEDIAN,W_FGA3_MEDIAN,W_FTM_MEDIAN,W_FTA_MEDIAN,W_OR_MEDIAN,W_DR_MEDIAN,W_AST_MEDIAN,W_TO_MEDIAN,W_STL_MEDIAN,W_BLK_MEDIAN,W_PF_MEDIAN,W_SCORE_STDDEV,W_FGM_STDDEV,W_FGA_STDDEV,W_FGM3_STDDEV,W_FGA3_STDDEV,W_FTM_STDDEV,W_FTA_STDDEV,W_OR_STDDEV,W_DR_STDDEV,W_AST_STDDEV,W_TO_STDDEV,W_STL_STDDEV,W_BLK_STDDEV,W_PF_STDDEV,W_WINMARGINMEDIAN,W_WINMARGINMEAN,W_LOSEMARGINMEDIAN,W_LOSEMARGINMEAN,W_WON_CONFERENCE,W_TOTAL_WINS,L_SCORE_MEAN,L_FGM_MEAN,L_FGA_MEAN,L_FGM3_MEAN,L_FGA3_MEAN,L_FTM_MEAN,L_FTA_MEAN,L_OR_MEAN,L_DR_MEAN,L_AST_MEAN,L_TO_MEAN,L_STL_MEAN,L_BLK_MEAN,L_PF_MEAN,L_SCORE_MEDIAN,L_FGM_MEDIAN,L_FGA_MEDIAN,L_FGM3_MEDIAN,L_FGA3_MEDIAN,L_FTM_MEDIAN,L_FTA_MEDIAN,L_OR_MEDIAN,L_DR_MEDIAN,L_AST_MEDIAN,L_TO_MEDIAN,L_STL_MEDIAN,L_BLK_MEDIAN,L_PF_MEDIAN,L_SCORE_STDDEV,L_FGM_STDDEV,L_FGA_STDDEV,L_FGM3_STDDEV,L_FGA3_STDDEV,L_FTM_STDDEV,L_FTA_STDDEV,L_OR_STDDEV,L_DR_STDDEV,L_AST_STDDEV,L_TO_STDDEV,L_STL_STDDEV,L_BLK_STDDEV,L_PF_STDDEV,L_WINMARGINMEDIAN,L_WINMARGINMEAN,L_LOSEMARGINMEDIAN,L_LOSEMARGINMEAN,L_WON_CONFERENCE,L_TOTAL_WINS,W_WLOCN,W_WLOCH,W_WLOCA,L_WLOCN,L_WLOCH,L_WLOCA,WIN_INDICATOR
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,1393,1328,63,47,6,W,3,W,1,80.103448,29.241379,62.206897,5.241379,15.862069,16.37931,23.62069,14.310345,26.896552,14.965517,13.62069,8.310345,7.275862,16.586207,82.0,29.0,62.0,5.0,16.0,17.0,22.0,14.0,26.0,14.0,13.0,9.0,6.0,17.0,13.43860331284468,6.769971344104789,10.30041368101301,2.415059419558865,4.3648280607602405,6.3606704049180225,7.757087984546779,5.568427875082876,5.287078777548146,5.666207814755826,3.940755891957785,2.465525907387712,2.9748536098436844,3.9235301706498955,9.0,14.416667,13.0,10.0,0,24.0,71.166667,25.266667,56.533333,7.466667,18.966667,13.166667,18.6,12.133333,24.966667,14.166667,11.8,6.933333,3.766667,18.6,69.5,25.0,55.5,8.0,19.0,14.5,19.5,11.0,24.5,14.0,11.0,7.0,4.0,18.0,13.769239412545632,5.368704592357452,6.273828177436803,2.8251741539239665,5.215912863535969,5.458832384310769,7.407358908544935,4.264798471205879,4.038464435896397,5.2528043938452535,2.808852968740087,3.423381369348148,2.028815417922488,4.148950831234325,12.5,15.541667,6.0,7.166667,1,24.0,1,17,6,4,15,5,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,1120,1448,68,62,2,W,10,W,2,70.1,25.7,54.7,5.633333,16.333333,13.066667,19.733333,11.933333,22.566667,13.4,15.9,8.033333,4.966667,16.366667,69.5,25.5,54.5,5.0,16.0,13.0,18.0,12.0,22.0,14.0,16.0,7.0,4.5,16.5,14.41347550037811,5.9256892426113605,6.046657671805144,2.484202890264803,5.664976081149858,6.3187369782259495,8.432013460615442,3.183289650660147,5.568899711792268,5.055553481074055,4.692988173861085,3.285110957030219,2.5928727311613273,3.9258940383051604,15.0,16.157895,17.0,15.545455,0,19.0,78.413793,26.137931,57.241379,6.103448,17.724138,20.034483,26.62069,14.758621,26.931034,14.586207,15.103448,6.413793,4.37931,18.482759,75.0,25.0,57.0,6.0,18.0,19.0,25.0,14.0,27.0,14.0,15.0,7.0,5.0,18.0,11.977709171623763,4.525516103164367,6.743542763266205,2.1438421117237154,3.272139514140557,6.721409078459665,8.796971069635276,4.23973690221457,5.324679990384398,4.127583554575243,4.730937856281775,3.235045131060771,1.801066906030978,4.3803187098657554,11.5,15.666667,10.0,12.6,0,24.0,3,13,3,1,16,7,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,1139,1257,79,71,2,W,12,W,4,68.586207,24.068966,50.655172,8.482759,21.862069,11.965517,16.551724,7.827586,20.37931,12.965517,10.413793,6.344828,1.862069,16.068966,68.0,23.0,50.0,9.0,21.0,11.0,15.0,7.0,21.0,13.0,10.0,6.0,2.0,16.0,7.798888382327317,3.261584124317507,5.595124574127014,2.5721127502502688,4.680690867810007,5.30823322773218,6.299581652776634,2.8418928551231484,4.246122584193725,3.6886191183151453,4.187713696039881,2.8694929865744574,1.432384026719092,4.415322638267786,12.0,11.5,10.0,10.8,0,24.0,81.833333,27.966667,60.833333,8.433333,23.4,17.466667,25.1,13.2,25.1,16.6,13.366667,7.2,4.733333,22.666667,81.0,28.0,62.0,9.0,24.0,18.0,25.5,13.5,25.0,16.0,12.0,6.5,4.5,22.0,10.90739492271184,5.549049828574258,6.8485253157157855,2.686920170008778,4.132295003989913,6.916912461496097,8.968719585314282,3.836305644757727,4.4049345057560165,4.445842664782459,4.398144836178091,3.6045947067596935,2.6901267628124885,5.351978886355962,18.0,18.333333,4.0,6.5,1,24.0,3,11,10,0,16,8,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,1139,1280,47,46,1,W,12,W,5,68.586207,24.068966,50.655172,8.482759,21.862069,11.965517,16.551724,7.827586,20.37931,12.965517,10.413793,6.344828,1.862069,16.068966,68.0,23.0,50.0,9.0,21.0,11.0,15.0,7.0,21.0,13.0,10.0,6.0,2.0,16.0,7.798888382327317,3.261584124317507,5.595124574127014,2.5721127502502688,4.680690867810007,5.30823322773218,6.299581652776634,2.8418928551231484,4.246122584193725,3.6886191183151453,4.187713696039881,2.8694929865744574,1.432384026719092,4.415322638267786,12.0,11.5,10.0,10.8,0,24.0,70.166667,26.333333,55.8,5.566667,16.2,11.933333,17.633333,12.666667,24.6,14.5,15.633333,8.733333,3.733333,15.9,68.0,25.5,56.0,5.0,17.5,10.5,16.5,12.0,23.5,14.0,14.5,8.0,3.5,15.5,12.45151516884592,5.247878619023119,7.452840263953066,2.5822114553227435,4.7080268690822065,5.680780228102474,7.136517708238381,4.357580291859233,5.745162921971839,3.3295956210927478,3.8190387534037935,2.9353180406899693,1.964044551429524,3.273193089324246,16.0,17.190476,7.0,6.777778,0,21.0,3,11,10,5,12,4,1
4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,1393,1329,68,56,2,W,3,W,6,80.103448,29.241379,62.206897,5.241379,15.862069,16.37931,23.62069,14.310345,26.896552,14.965517,13.62069,8.310345,7.275862,16.586207,82.0,29.0,62.0,5.0,16.0,17.0,22.0,14.0,26.0,14.0,13.0,9.0,6.0,17.0,13.43860331284468,6.769971344104789,10.30041368101301,2.415059419558865,4.3648280607602405,6.3606704049180225,7.757087984546779,5.568427875082876,5.287078777548146,5.666207814755826,3.940755891957785,2.465525907387712,2.9748536098436844,3.9235301706498955,9.0,14.416667,13.0,10.0,0,24.0,68.724138,24.655172,55.413793,4.862069,12.965517,14.551724,22.344828,12.37931,24.068966,12.241379,14.655172,8.793103,5.586207,20.137931,68.0,24.0,56.0,4.0,13.0,14.0,21.0,12.0,24.0,12.0,15.0,8.0,5.0,18.0,11.777389226819329,4.790435888309121,4.7019542745543585,2.682271611899138,3.9141023236497023,4.982728770463028,6.688347329497773,3.121512774281086,4.366520582798162,4.197407175864643,3.4772306509634934,3.5393635021003425,3.510364653422775,4.9405330684046636,11.5,13.8,11.0,9.666667,0,20.0,1,17,6,2,13,5,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,1120,1386,65,63,1,W,10,W,7,70.1,25.7,54.7,5.633333,16.333333,13.066667,19.733333,11.933333,22.566667,13.4,15.9,8.033333,4.966667,16.366667,69.5,25.5,54.5,5.0,16.0,13.0,18.0,12.0,22.0,14.0,16.0,7.0,4.5,16.5,14.41347550037811,5.9256892426113605,6.046657671805144,2.484202890264803,5.664976081149858,6.3187369782259495,8.432013460615442,3.183289650660147,5.568899711792268,5.055553481074055,4.692988173861085,3.285110957030219,2.5928727311613273,3.9258940383051604,15.0,16.157895,17.0,15.545455,0,19.0,70.62069,24.241379,54.413793,8.034483,21.862069,14.103448,20.655172,11.172414,24.137931,14.0,12.931034,7.206897,5.551724,18.758621,73.0,24.0,55.0,7.0,22.0,13.0,18.0,12.0,24.0,13.0,12.0,6.0,5.0,19.0,10.390290082572285,4.509158679842615,6.716276795963668,3.0645759902472642,4.634684023749624,6.393885594847628,7.825215013020409,3.6358234280558785,3.7770371986518745,4.898979485566356,2.9632394435819727,3.529258420688403,2.0973828930359857,4.214390110087105,17.0,16.043478,7.0,6.666667,0,23.0,3,13,3,4,11,8,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,1328,1143,74,65,2,W,1,W,8,71.166667,25.266667,56.533333,7.466667,18.966667,13.166667,18.6,12.133333,24.966667,14.166667,11.8,6.933333,3.766667,18.6,69.5,25.0,55.5,8.0,19.0,14.5,19.5,11.0,24.5,14.0,11.0,7.0,4.0,18.0,13.769239412545632,5.368704592357452,6.273828177436803,2.8251741539239665,5.215912863535969,5.458832384310769,7.407358908544935,4.264798471205879,4.038464435896397,5.2528043938452535,2.808852968740087,3.423381369348148,2.028815417922488,4.148950831234325,12.5,15.541667,6.0,7.166667,1,24.0,74.482759,27.344828,58.724138,6.413793,17.034483,13.37931,19.517241,11.241379,24.37931,16.0,14.172414,6.551724,2.793103,17.103448,75.0,27.0,58.0,6.0,18.0,13.0,19.0,11.0,22.0,17.0,14.0,7.0,3.0,18.0,7.75804047424348,3.5383193750706,7.864461456450785,2.542738091113593,4.6173798847398295,5.753345548461347,7.395078904244363,3.897390793851702,5.512413264623762,4.140393338802486,4.464694614416533,2.640159654263355,1.6339984700115238,3.744947396159257,10.0,10.380952,12.5,10.125,0,21.0,4,15,5,1,13,7,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,1143,1301,76,74,1,W,8,W,9,74.482759,27.344828,58.724138,6.413793,17.034483,13.37931,19.517241,11.241379,24.37931,16.0,14.172414,6.551724,2.793103,17.103448,75.0,27.0,58.0,6.0,18.0,13.0,19.0,11.0,22.0,17.0,14.0,7.0,3.0,18.0,7.75804047424348,3.5383193750706,7.864461456450785,2.542738091113593,4.6173798847398295,5.753345548461347,7.395078904244363,3.897390793851702,5.512413264623762,4.140393338802486,4.464694614416533,2.640159654263355,1.6339984700115238,3.744947396159257,10.0,10.380952,12.5,10.125,0,21.0,72.4,24.333333,53.333333,7.966667,22.5,15.766667,20.466667,9.733333,22.033333,14.666667,14.2,7.766667,3.066667,18.666667,71.5,23.5,52.0,8.0,21.5,15.0,19.0,10.0,21.0,14.0,14.0,7.5,2.0,18.0,12.69699936992989,4.396968614852737,6.5090564600408864,3.04544134732554,5.563117471346439,5.733647442945895,7.463628273165806,3.7502490583959887,4.374560777952456,4.998850467857586,3.717618861583312,3.626372154095605,2.4904415271192377,4.21273379173192,11.5,15.055556,11.5,11.583333,0,18.0,1,13,7,2,13,3,1
8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,1393,1120,79,78,3,W,3,W,10,80.103448,29.241379,62.206897,5.241379,15.862069,16.37931,23.62069,14.310345,26.896552,14.965517,13.62069,8.310345,7.275862,16.586207,82.0,29.0,62.0,5.0,16.0,17.0,22.0,14.0,26.0,14.0,13.0,9.0,6.0,17.0,13.43860331284468,6.769971344104789,10.30041368101301,2.415059419558865,4.3648280607602405,6.3606704049180225,7.757087984546779,5.568427875082876,5.287078777548146,5.666207814755826,3.940755891957785,2.465525907387712,2.9748536098436844,3.9235301706498955,9.0,14.416667,13.0,10.0,0,24.0,70.1,25.7,54.7,5.633333,16.333333,13.066667,19.733333,11.933333,22.566667,13.4,15.9,8.033333,4.966667,16.366667,69.5,25.5,54.5,5.0,16.0,13.0,18.0,12.0,22.0,14.0,16.0,7.0,4.5,16.5,14.41347550037811,5.9256892426113605,6.046657671805144,2.484202890264803,5.664976081149858,6.3187369782259495,8.432013460615442,3.183289650660147,5.568899711792268,5.055553481074055,4.692988173861085,3.285110957030219,2.5928727311613273,3.9258940383051604,15.0,16.157895,17.0,15.545455,0,19.0,1,17,6,3,13,3,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,1329,1335,77,63,1,W,6,W,11,68.724138,24.655172,55.413793,4.862069,12.965517,14.551724,22.344828,12.37931,24.068966,12.241379,14.655172,8.793103,5.586207,20.137931,68.0,24.0,56.0,4.0,13.0,14.0,21.0,12.0,24.0,12.0,15.0,8.0,5.0,18.0,11.777389226819329,4.790435888309121,4.7019542745543585,2.682271611899138,3.9141023236497023,4.982728770463028,6.688347329497773,3.121512774281086,4.366520582798162,4.197407175864643,3.4772306509634934,3.5393635021003425,3.510364653422775,4.9405330684046636,11.5,13.8,11.0,9.666667,0,20.0,70.185185,24.0,51.518519,9.0,21.851852,13.185185,18.777778,9.333333,24.185185,14.851852,13.0,7.185185,2.148148,17.777778,70.0,24.0,52.0,9.0,21.0,13.0,19.0,10.0,24.0,14.0,13.0,7.0,2.0,17.0,11.744186902463703,5.061164391718569,5.963803484354594,3.258125995108231,6.267766747414903,5.313531593958956,5.76683708804055,2.9482720362951587,4.780063074897653,4.4002071542144465,3.4641016151377544,3.363114776512987,1.37850825169819,3.27382788185329,13.5,15.681818,9.0,10.8,0,22.0,2,13,5,2,11,9,1
